FullDate,DateID,Year,Month,Day,DayOfWeek,Quarter
2011-04-11,20110411,2011,4,11,0,2
2011-04-12,20110412,2011,4,12,1,2
2011-04-13,20110413,2011,4,13,2,2
2011-04-14,20110414,2011,4,14,3,2
2011-04-15,20110415,2011,4,15,4,2
2011-04-17,20110417,2011,4,17,6,2
2011-04-18,20110418,2011,4,18,0,2
2011-04-19,20110419,2011,4,19,1,2
2011-04-20,20110420,2011,4,20,2,2
2011-04-21,20110421,2011,4,21,3,2
2011-04-26,20110426,2011,4,26,1,2
2011-04-27,20110427,2011,4,27,2,2
2011-04-28,20110428,2011,4,28,3,2
2011-05-01,20110501,2011,5,1,6,2
2011-05-03,20110503,2011,5,3,1,2
2011-05-04,20110504,2011,5,4,2,2
2011-05-05,20110505,2011,5,5,3,2
2011-05-06,20110506,2011,5,6,4,2
2011-05-08,20110508,2011,5,8,6,2
2011-05-09,20110509,2011,5,9,0,2
2011-05-10,20110510,2011,5,10,1,2
2011-05-11,20110511,2011,5,11,2,2
2011-05-12,20110512,2011,5,12,3,2
2011-05-13,20110513,2011,5,13,4,2
2011-05-15,20110515,2011,5,15,6,2
2011-05-16,20110516,2011,5,16,0,2
2011-05-17,20110517,2011,5,17,1,2
2011-05-18,20110518,2011,5,18,2,2
2011-05-19,20110519,2011,5,19,3,2
2011-05-20,20110520,2011,5,20,4,2
2011-05-22,20110522,2011,5,22,6,2
2011-05-23,20110523,2011,5,23,0,2
2011-05-24,20110524,2011,5,24,1,2
2011-05-25,20110525,2011,5,25,2,2
2011-05-26,20110526,2011,5,26,3,2
2011-05-27,20110527,2011,5,27,4,2
2011-05-29,20110529,2011,5,29,6,2
2011-05-31,20110531,2011,5,31,1,2
2011-06-01,20110601,2011,6,1,2,2
2011-06-02,20110602,2011,6,2,3,2
2011-06-03,20110603,2011,6,3,4,2
2011-06-05,20110605,2011,6,5,6,2
2011-06-06,20110606,2011,6,6,0,2
2011-06-07,20110607,2011,6,7,1,2
2011-06-08,20110608,2011,6,8,2,2
2011-06-09,20110609,2011,6,9,3,2
2011-06-10,20110610,2011,6,10,4,2
2011-06-12,20110612,2011,6,12,6,2
2011-06-13,20110613,2011,6,13,0,2
2011-06-14,20110614,2011,6,14,1,2
2011-06-15,20110615,2011,6,15,2,2
2011-06-16,20110616,2011,6,16,3,2
2011-06-17,20110617,2011,6,17,4,2
2011-06-19,20110619,2011,6,19,6,2
2011-06-20,20110620,2011,6,20,0,2
2011-06-21,20110621,2011,6,21,1,2
2011-06-22,20110622,2011,6,22,2,2
2011-06-23,20110623,2011,6,23,3,2
2011-06-24,20110624,2011,6,24,4,2
2011-06-26,20110626,2011,6,26,6,2
2011-06-27,20110627,2011,6,27,0,2
2011-06-28,20110628,2011,6,28,1,2
2011-06-29,20110629,2011,6,29,2,2
2011-06-30,20110630,2011,6,30,3,2
2011-07-01,20110701,2011,7,1,4,3
2011-07-03,20110703,2011,7,3,6,3
2011-07-04,20110704,2011,7,4,0,3
2011-07-05,20110705,2011,7,5,1,3
2011-07-06,20110706,2011,7,6,2,3
2011-07-07,20110707,2011,7,7,3,3
2011-07-08,20110708,2011,7,8,4,3
2011-07-10,20110710,2011,7,10,6,3
2011-07-11,20110711,2011,7,11,0,3
2011-07-12,20110712,2011,7,12,1,3
2011-07-13,20110713,2011,7,13,2,3
2011-07-14,20110714,2011,7,14,3,3
2011-07-15,20110715,2011,7,15,4,3
2011-07-17,20110717,2011,7,17,6,3
2011-07-18,20110718,2011,7,18,0,3
2011-07-19,20110719,2011,7,19,1,3
2011-07-20,20110720,2011,7,20,2,3
2011-07-21,20110721,2011,7,21,3,3
2011-07-22,20110722,2011,7,22,4,3
2011-07-24,20110724,2011,7,24,6,3
2011-07-25,20110725,2011,7,25,0,3
2011-07-26,20110726,2011,7,26,1,3
2011-07-27,20110727,2011,7,27,2,3
2011-07-28,20110728,2011,7,28,3,3
2011-07-29,20110729,2011,7,29,4,3
2011-07-31,20110731,2011,7,31,6,3
2011-08-01,20110801,2011,8,1,0,3
2011-08-02,20110802,2011,8,2,1,3
2011-08-03,20110803,2011,8,3,2,3
2011-08-04,20110804,2011,8,4,3,3
2011-08-05,20110805,2011,8,5,4,3
2011-08-07,20110807,2011,8,7,6,3
2011-08-08,20110808,2011,8,8,0,3
2011-08-09,20110809,2011,8,9,1,3
2011-08-10,20110810,2011,8,10,2,3
2011-08-11,20110811,2011,8,11,3,3
2011-08-12,20110812,2011,8,12,4,3
2011-08-14,20110814,2011,8,14,6,3
2011-08-15,20110815,2011,8,15,0,3
2011-08-16,20110816,2011,8,16,1,3
2011-08-17,20110817,2011,8,17,2,3
2011-08-18,20110818,2011,8,18,3,3
2011-08-19,20110819,2011,8,19,4,3
2011-08-21,20110821,2011,8,21,6,3
2011-08-22,20110822,2011,8,22,0,3
2011-08-23,20110823,2011,8,23,1,3
2011-08-24,20110824,2011,8,24,2,3
2011-08-25,20110825,2011,8,25,3,3
2011-08-26,20110826,2011,8,26,4,3
2011-08-28,20110828,2011,8,28,6,3
2011-08-30,20110830,2011,8,30,1,3
2011-08-31,20110831,2011,8,31,2,3
2011-09-01,20110901,2011,9,1,3,3
2011-09-02,20110902,2011,9,2,4,3
2011-09-04,20110904,2011,9,4,6,3
2011-09-05,20110905,2011,9,5,0,3
2011-09-06,20110906,2011,9,6,1,3
2011-09-07,20110907,2011,9,7,2,3
2011-09-08,20110908,2011,9,8,3,3
2011-09-09,20110909,2011,9,9,4,3
2011-09-11,20110911,2011,9,11,6,3
2011-09-12,20110912,2011,9,12,0,3
2011-09-13,20110913,2011,9,13,1,3
2011-09-14,20110914,2011,9,14,2,3
2011-09-15,20110915,2011,9,15,3,3
2011-09-16,20110916,2011,9,16,4,3
2011-09-18,20110918,2011,9,18,6,3
2011-09-19,20110919,2011,9,19,0,3
2011-09-20,20110920,2011,9,20,1,3
2011-09-21,20110921,2011,9,21,2,3
2011-09-22,20110922,2011,9,22,3,3
2011-09-23,20110923,2011,9,23,4,3
2011-09-25,20110925,2011,9,25,6,3
2011-09-26,20110926,2011,9,26,0,3
2011-09-27,20110927,2011,9,27,1,3
2011-09-28,20110928,2011,9,28,2,3
2011-09-29,20110929,2011,9,29,3,3
2011-09-30,20110930,2011,9,30,4,3
2011-10-02,20111002,2011,10,2,6,4
2011-10-03,20111003,2011,10,3,0,4
2011-10-04,20111004,2011,10,4,1,4
2011-10-05,20111005,2011,10,5,2,4
2011-10-06,20111006,2011,10,6,3,4
2011-10-07,20111007,2011,10,7,4,4
2011-10-09,20111009,2011,10,9,6,4
2011-10-10,20111010,2011,10,10,0,4
2011-10-11,20111011,2011,10,11,1,4
2011-10-12,20111012,2011,10,12,2,4
2011-10-13,20111013,2011,10,13,3,4
2011-10-14,20111014,2011,10,14,4,4
2011-10-16,20111016,2011,10,16,6,4
2011-10-17,20111017,2011,10,17,0,4
2011-10-18,20111018,2011,10,18,1,4
2011-10-19,20111019,2011,10,19,2,4
2011-10-20,20111020,2011,10,20,3,4
2011-10-21,20111021,2011,10,21,4,4
2011-10-23,20111023,2011,10,23,6,4
2011-10-24,20111024,2011,10,24,0,4
2011-10-25,20111025,2011,10,25,1,4
2011-10-26,20111026,2011,10,26,2,4
2011-10-27,20111027,2011,10,27,3,4
2011-10-28,20111028,2011,10,28,4,4
2011-10-30,20111030,2011,10,30,6,4
2011-10-31,20111031,2011,10,31,0,4
2011-11-01,20111101,2011,11,1,1,4
2011-11-02,20111102,2011,11,2,2,4
2011-11-03,20111103,2011,11,3,3,4
2011-11-04,20111104,2011,11,4,4,4
2011-11-06,20111106,2011,11,6,6,4
2011-11-07,20111107,2011,11,7,0,4
2011-11-08,20111108,2011,11,8,1,4
2011-11-09,20111109,2011,11,9,2,4
2011-11-10,20111110,2011,11,10,3,4
2011-11-11,20111111,2011,11,11,4,4
2011-11-13,20111113,2011,11,13,6,4
2011-11-14,20111114,2011,11,14,0,4
2011-11-15,20111115,2011,11,15,1,4
2011-11-16,20111116,2011,11,16,2,4
2011-11-17,20111117,2011,11,17,3,4
2011-11-18,20111118,2011,11,18,4,4
2011-11-20,20111120,2011,11,20,6,4
2011-11-21,20111121,2011,11,21,0,4
2011-11-22,20111122,2011,11,22,1,4
2011-11-23,20111123,2011,11,23,2,4
2011-11-24,20111124,2011,11,24,3,4
2011-11-25,20111125,2011,11,25,4,4
2011-11-27,20111127,2011,11,27,6,4
2011-11-28,20111128,2011,11,28,0,4
2011-11-29,20111129,2011,11,29,1,4
2011-11-30,20111130,2011,11,30,2,4
2011-12-01,20111201,2011,12,1,3,4
2011-12-02,20111202,2011,12,2,4,4
2011-12-04,20111204,2011,12,4,6,4
2011-12-05,20111205,2011,12,5,0,4
2011-12-06,20111206,2011,12,6,1,4
2011-12-07,20111207,2011,12,7,2,4
2011-12-08,20111208,2011,12,8,3,4
2011-12-09,20111209,2011,12,9,4,4
